STATE_CODE,STATE_CODE_EXP,SHRP_ID,LATITUDE,LONGITUDE,DATUM,DATUM_EXP,DATUM_OTHER,ELEVATION
1,Alabama,0502,31.241910934448242,-85.61339,1,World Geodetic System 1984 (WGS84),,106.9000015258789
1,Alabama,0503,31.241910934448242,-85.61059,1,World Geodetic System 1984 (WGS84),,108.9000015258789
1,Alabama,0504,31.24197006225586,-85.62005,1,World Geodetic System 1984 (WGS84),,107.80000305175781
1,Alabama,0505,31.241979598999023,-85.61624,1,World Geodetic System 1984 (WGS84),,107.0999984741211
1,Alabama,0506,31.24197006225586,-85.62585,1,World Geodetic System 1984 (WGS84),,104.9000015258789
1,Alabama,0507,31.24197006225586,-85.6227,1,World Geodetic System 1984 (WGS84),,105.69999694824219
1,Alabama,0508,31.241880416870117,-85.60885,1,World Geodetic System 1984 (WGS84),,106.80000305175781
1,Alabama,0509,31.241880416870117,-85.60486,1,World Geodetic System 1984 (WGS84),,101.5
1,Alabama,0563,31.242050170898438,-85.62927,1,World Geodetic System 1984 (WGS84),,104.0
1,Alabama,0564,31.241859436035156,-85.60123,1,World Geodetic System 1984 (WGS84),,105.0
1,Alabama,1001,32.534671783447266,-85.08147,1,World Geodetic System 1984 (WGS84),,153.0
1,Alabama,1011,34.90726089477539,-87.82325,1,World Geodetic System 1984 (WGS84),,182.89999389648438
1,Alabama,1019,31.352859497070312,-88.03236,1,World Geodetic System 1984 (WGS84),,19.0
1,Alabama,1021,32.552268981933594,-86.20237,1,World Geodetic System 1984 (WGS84),,51.0
1,Alabama,3028,33.6115608215332,-86.6411,1,World Geodetic System 1984 (WGS84),,245.10000610351562
1,Alabama,3998,32.724639892578125,-88.11511,1,World Geodetic System 1984 (WGS84),,32.599998474121094
1,Alabama,4007,33.585750579833984,-86.68105,1,World Geodetic System 1984 (WGS84),,244.1999969482422
1,Alabama,4073,34.75774002075195,-85.90713,1,World Geodetic System 1984 (WGS84),,195.0
1,Alabama,4084,33.47420883178711,-86.92885,1,World Geodetic System 1984 (WGS84),,164.10000610351562
1,Alabama,4125,32.42216110229492,-86.24369,1,World Geodetic System 1984 (WGS84),,54.0
1,Alabama,4126,34.19095993041992,-86.87921,1,World Geodetic System 1984 (WGS84),,277.20001220703125
1,Alabama,4127,34.840721130371094,-87.36156,1,World Geodetic System 1984 (WGS84),,199.1999969482422
1,Alabama,4129,33.052799224853516,-86.1441,1,World Geodetic System 1984 (WGS84),,228.39999389648438
1,Alabama,4155,31.242610931396484,-85.56937,1,World Geodetic System 1984 (WGS84),,99.0
1,Alabama,5008,33.66233825683594,-85.38512,1,World Geodetic System 1984 (WGS84),,312.6000061035156
1,Alabama,6012,33.13127136230469,-87.63965,1,World Geodetic System 1984 (WGS84),,38.0
1,Alabama,6019,30.98893928527832,-87.70056,1,World Geodetic System 1984 (WGS84),,61.20000076293945
1,Alabama,A310,32.422279357910156,-86.24886,1,World Geodetic System 1984 (WGS84),,54.0
1,Alabama,A320,32.42253112792969,-86.25755,1,World Geodetic System 1984 (WGS84),,54.0
1,Alabama,A330,32.42250061035156,-86.25812,1,World Geodetic System 1984 (WGS84),,54.0
1,Alabama,A340,32.422508239746094,-86.25887,1,World Geodetic System 1984 (WGS84),,59.599998474121094
1,Alabama,A350,32.42258071899414,-86.25939,1,World Geodetic System 1984 (WGS84),,61.099998474121094
1,Alabama,B310,31.349109649658203,-88.03199,1,World Geodetic System 1984 (WGS84),,17.899999618530273
1,Alabama,B320,31.346450805664062,-88.03185,1,World Geodetic System 1984 (WGS84),,23.0
1,Alabama,B330,31.34453010559082,-88.03174,1,World Geodetic System 1984 (WGS84),,16.700000762939453
1,Alabama,B340,31.35803985595703,-88.03254,1,World Geodetic System 1984 (WGS84),,21.200000762939453
1,Alabama,B350,31.341859817504883,-88.03164,1,World Geodetic System 1984 (WGS84),,8.800000190734863
1,Alabama,C310,31.24275016784668,-85.56616,1,World Geodetic System 1984 (WGS84),,100.9000015258789
1,Alabama,C320,31.242910385131836,-85.56363,1,World Geodetic System 1984 (WGS84),,103.0
1,Alabama,C330,31.242929458618164,-85.55701,1,World Geodetic System 1984 (WGS84),,98.5
1,Alabama,C340,31.243000030517578,-85.56145,1,World Geodetic System 1984 (WGS84),,103.0
1,Alabama,C350,31.24254035949707,-85.55456,1,World Geodetic System 1984 (WGS84),,92.0
2,Alaska,1001,60.64937973022461,-149.49278,1,World Geodetic System 1984 (WGS84),,391.3999938964844
2,Alaska,1002,60.75880813598633,-149.2394,1,World Geodetic System 1984 (WGS84),,277.70001220703125
2,Alaska,1004,61.18077850341797,-149.74907,1,World Geodetic System 1984 (WGS84),,94.4000015258789
2,Alaska,1008,64.94796752929688,-147.6362,1,World Geodetic System 1984 (WGS84),,215.5
2,Alaska,6010,61.32600021362305,-149.58131,1,World Geodetic System 1984 (WGS84),,79.0999984741211
2,Alaska,9035,62.41484832763672,-150.25993,1,World Geodetic System 1984 (WGS84),,169.6999969482422
4,Arizona,0113,35.42607879638672,-114.2802,1,World Geodetic System 1984 (WGS84),,1079.300048828125
4,Arizona,0114,35.41368865966797,-114.27134,1,World Geodetic System 1984 (WGS84),,1081.300048828125
4,Arizona,0115,35.400901794433594,-114.26201,1,World Geodetic System 1984 (WGS84),,1081.199951171875
4,Arizona,0116,35.41569900512695,-114.27275,1,World Geodetic System 1984 (WGS84),,1085.5999755859375
4,Arizona,0117,35.40279006958008,-114.26339,1,World Geodetic System 1984 (WGS84),,1080.800048828125
4,Arizona,0118,35.417701721191406,-114.27423,1,World Geodetic System 1984 (WGS84),,1089.9000244140625
4,Arizona,0119,35.41082000732422,-114.26929,1,World Geodetic System 1984 (WGS84),,1079.5999755859375
4,Arizona,0120,35.42393112182617,-114.27866,1,World Geodetic System 1984 (WGS84),,1084.0
4,Arizona,0121,35.42123031616211,-114.27674,1,World Geodetic System 1984 (WGS84),,1088.300048828125
4,Arizona,0122,35.419471740722656,-114.2755,1,World Geodetic System 1984 (WGS84),,1090.300048828125
4,Arizona,0123,35.40761947631836,-114.2669,1,World Geodetic System 1984 (WGS84),,1079.0999755859375
4,Arizona,0124,35.405029296875,-114.26501,1,World Geodetic System 1984 (WGS84),,1079.0
4,Arizona,0160,35.39878845214844,-114.26049,1,World Geodetic System 1984 (WGS84),,1080.0
4,Arizona,0161,35.42797088623047,-114.28161,1,World Geodetic System 1984 (WGS84),,1072.4000244140625
4,Arizona,0213,33.446388244628906,-112.70996,1,World Geodetic System 1984 (WGS84),,323.0
4,Arizona,0214,33.45256042480469,-112.73744,1,World Geodetic System 1984 (WGS84),,328.0
4,Arizona,0215,33.44906997680664,-112.72188,1,World Geodetic System 1984 (WGS84),,322.20001220703125
4,Arizona,0216,33.44976043701172,-112.72496,1,World Geodetic System 1984 (WGS84),,323.8999938964844
4,Arizona,0217,33.447471618652344,-112.71472,1,World Geodetic System 1984 (WGS84),,323.0
4,Arizona,0218,33.45151901245117,-112.73284,1,World Geodetic System 1984 (WGS84),,327.0
4,Arizona,0219,33.44805145263672,-112.71724,1,World Geodetic System 1984 (WGS84),,324.0
4,Arizona,0220,33.45079040527344,-112.72953,1,World Geodetic System 1984 (WGS84),,323.0
4,Arizona,0221,33.447120666503906,-112.71305,1,World Geodetic System 1984 (WGS84),,322.6000061035156
4,Arizona,0222,33.45206832885742,-112.73523,1,World Geodetic System 1984 (WGS84),,327.5
4,Arizona,0223,33.44858932495117,-112.71979,1,World Geodetic System 1984 (WGS84),,323.8999938964844
4,Arizona,0224,33.450260162353516,-112.72719,1,World Geodetic System 1984 (WGS84),,324.8999938964844
4,Arizona,0260,33.44218826293945,-112.69119,1,World Geodetic System 1984 (WGS84),,324.0
4,Arizona,0261,33.45307922363281,-112.73961,1,World Geodetic System 1984 (WGS84),,326.3999938964844
4,Arizona,0262,33.4459114074707,-112.70777,1,World Geodetic System 1984 (WGS84),,323.0
4,Arizona,0263,33.4451904296875,-112.7046,1,World Geodetic System 1984 (WGS84),,322.70001220703125
4,Arizona,0264,33.44464874267578,-112.70224,1,World Geodetic System 1984 (WGS84),,323.0
4,Arizona,0265,33.444190979003906,-112.70018,1,World Geodetic System 1984 (WGS84),,323.0
4,Arizona,0266,33.443748474121094,-112.69803,1,World Geodetic System 1984 (WGS84),,323.5
4,Arizona,0267,33.44321060180664,-112.69573,1,World Geodetic System 1984 (WGS84),,323.20001220703125
4,Arizona,0268,33.442710876464844,-112.69352,1,World Geodetic System 1984 (WGS84),,324.0
4,Arizona,0501,32.82814025878906,-111.97668,1,World Geodetic System 1984 (WGS84),,421.0
4,Arizona,0502,32.828609466552734,-111.98935,1,World Geodetic System 1984 (WGS84),,427.0
4,Arizona,0503,32.8290901184082,-112.00134,1,World Geodetic System 1984 (WGS84),,433.0
4,Arizona,0504,32.82918167114258,-112.00387,1,World Geodetic System 1984 (WGS84),,434.0
4,Arizona,0505,32.82843017578125,-111.9848,1,World Geodetic System 1984 (WGS84),,424.0
4,Arizona,0506,32.828521728515625,-111.98673,1,World Geodetic System 1984 (WGS84),,425.5
4,Arizona,0507,32.829280853271484,-112.00633,1,World Geodetic System 1984 (WGS84),,435.5
4,Arizona,0508,32.82891082763672,-111.99691,1,World Geodetic System 1984 (WGS84),,431.0
4,Arizona,0509,32.828731536865234,-111.99234,1,World Geodetic System 1984 (WGS84),,429.20001220703125
4,Arizona,0559,32.828338623046875,-111.98221,1,World Geodetic System 1984 (WGS84),,424.0
4,Arizona,0560,32.828208923339844,-111.97923,1,World Geodetic System 1984 (WGS84),,421.0
4,Arizona,0601,35.211509704589844,-111.53062,1,World Geodetic System 1984 (WGS84),,2045.0
4,Arizona,0602,35.21207046508789,-111.53305,1,World Geodetic System 1984 (WGS84),,2044.0
4,Arizona,0603,35.21379089355469,-111.54043,1,World Geodetic System 1984 (WGS84),,2041.800048828125
4,Arizona,0604,35.2153205871582,-111.54751,1,World Geodetic System 1984 (WGS84),,2057.0
4,Arizona,0605,35.2132682800293,-111.53813,1,World Geodetic System 1984 (WGS84),,2040.5
4,Arizona,0606,35.21683120727539,-111.55452,1,World Geodetic System 1984 (WGS84),,2060.60009765625
4,Arizona,0607,35.217350006103516,-111.55696,1,World Geodetic System 1984 (WGS84),,2067.0
4,Arizona,0608,35.21773910522461,-111.55949,1,World Geodetic System 1984 (WGS84),,2066.199951171875
4,Arizona,0659,35.216251373291016,-111.55192,1,World Geodetic System 1984 (WGS84),,2054.0
4,Arizona,0660,35.21821975708008,-111.56434,1,World Geodetic System 1984 (WGS84),,2067.0
4,Arizona,0661,35.215721130371094,-111.54943,1,World Geodetic System 1984 (WGS84),,2055.39990234375
4,Arizona,0662,35.2145881652832,-111.54416,1,World Geodetic System 1984 (WGS84),,2042.0
