VWS_ID,STATE_CODE,STATE_CODE_EXP,YEAR,SHRP_ID,MEAN_ANN_WIND_AVG
014155,1,Alabama,2022,0502,1.7000000476837158
014155,1,Alabama,2021,0502,1.7999999523162842
014155,1,Alabama,2020,0502,2.0
014155,1,Alabama,2019,0502,1.899999976158142
014155,1,Alabama,2018,0502,1.899999976158142
014155,1,Alabama,2017,0502,2.0
014155,1,Alabama,2016,0502,2.799999952316284
014155,1,Alabama,2015,0502,2.5
014155,1,Alabama,2014,0502,2.299999952316284
014155,1,Alabama,2013,0502,2.5999999046325684
014155,1,Alabama,2010,0502,1.899999976158142
014155,1,Alabama,2009,0502,2.0
014155,1,Alabama,2008,0502,2.0999999046325684
014155,1,Alabama,2007,0502,1.7999999523162842
014155,1,Alabama,2006,0502,2.0999999046325684
014155,1,Alabama,2005,0502,2.299999952316284
014155,1,Alabama,2004,0502,2.0999999046325684
014155,1,Alabama,2003,0502,2.0
014155,1,Alabama,2002,0502,2.200000047683716
014155,1,Alabama,2001,0502,2.0
014155,1,Alabama,2000,0502,2.299999952316284
014155,1,Alabama,1999,0502,2.4000000953674316
014155,1,Alabama,2022,0503,1.7000000476837158
014155,1,Alabama,2021,0503,1.7999999523162842
014155,1,Alabama,2020,0503,2.0
014155,1,Alabama,2019,0503,1.899999976158142
014155,1,Alabama,2018,0503,1.899999976158142
014155,1,Alabama,2017,0503,2.0
014155,1,Alabama,2016,0503,2.799999952316284
014155,1,Alabama,2015,0503,2.5
014155,1,Alabama,2014,0503,2.299999952316284
014155,1,Alabama,2013,0503,2.5999999046325684
014155,1,Alabama,2010,0503,1.899999976158142
014155,1,Alabama,2009,0503,2.0
014155,1,Alabama,2008,0503,2.0999999046325684
014155,1,Alabama,2007,0503,1.7999999523162842
014155,1,Alabama,2006,0503,2.0999999046325684
014155,1,Alabama,2005,0503,2.299999952316284
014155,1,Alabama,2004,0503,2.0999999046325684
014155,1,Alabama,2003,0503,2.0
014155,1,Alabama,2002,0503,2.200000047683716
014155,1,Alabama,2001,0503,2.0
014155,1,Alabama,2000,0503,2.299999952316284
014155,1,Alabama,1999,0503,2.4000000953674316
014155,1,Alabama,2022,0504,1.7000000476837158
014155,1,Alabama,2021,0504,1.7999999523162842
014155,1,Alabama,2020,0504,2.0
014155,1,Alabama,2019,0504,1.899999976158142
014155,1,Alabama,2018,0504,1.899999976158142
014155,1,Alabama,2017,0504,2.0
014155,1,Alabama,2016,0504,2.799999952316284
014155,1,Alabama,2015,0504,2.5
014155,1,Alabama,2014,0504,2.299999952316284
014155,1,Alabama,2013,0504,2.5999999046325684
014155,1,Alabama,2010,0504,1.899999976158142
014155,1,Alabama,2009,0504,2.0
014155,1,Alabama,2008,0504,2.0999999046325684
014155,1,Alabama,2007,0504,1.7999999523162842
014155,1,Alabama,2006,0504,2.0999999046325684
014155,1,Alabama,2005,0504,2.299999952316284
014155,1,Alabama,2004,0504,2.0999999046325684
014155,1,Alabama,2003,0504,2.0
014155,1,Alabama,2002,0504,2.200000047683716
014155,1,Alabama,2001,0504,2.0
014155,1,Alabama,2000,0504,2.299999952316284
014155,1,Alabama,1999,0504,2.4000000953674316
014155,1,Alabama,2022,0505,1.7000000476837158
014155,1,Alabama,2021,0505,1.7999999523162842
014155,1,Alabama,2020,0505,2.0
014155,1,Alabama,2019,0505,1.899999976158142
014155,1,Alabama,2018,0505,1.899999976158142
014155,1,Alabama,2017,0505,2.0
014155,1,Alabama,2016,0505,2.799999952316284
014155,1,Alabama,2015,0505,2.5
014155,1,Alabama,2014,0505,2.299999952316284
014155,1,Alabama,2013,0505,2.5999999046325684
014155,1,Alabama,2010,0505,1.899999976158142
014155,1,Alabama,2009,0505,2.0
014155,1,Alabama,2008,0505,2.0999999046325684
014155,1,Alabama,2007,0505,1.7999999523162842
014155,1,Alabama,2006,0505,2.0999999046325684
014155,1,Alabama,2005,0505,2.299999952316284
014155,1,Alabama,2004,0505,2.0999999046325684
014155,1,Alabama,2003,0505,2.0
014155,1,Alabama,2002,0505,2.200000047683716
014155,1,Alabama,2001,0505,2.0
014155,1,Alabama,2000,0505,2.299999952316284
014155,1,Alabama,1999,0505,2.4000000953674316
014155,1,Alabama,2022,0506,1.7000000476837158
014155,1,Alabama,2021,0506,1.7999999523162842
014155,1,Alabama,2020,0506,2.0
014155,1,Alabama,2019,0506,1.899999976158142
014155,1,Alabama,2018,0506,1.899999976158142
014155,1,Alabama,2017,0506,2.0
014155,1,Alabama,2016,0506,2.799999952316284
014155,1,Alabama,2015,0506,2.5
014155,1,Alabama,2014,0506,2.299999952316284
014155,1,Alabama,2013,0506,2.5999999046325684
014155,1,Alabama,2010,0506,1.899999976158142
014155,1,Alabama,2009,0506,2.0
014155,1,Alabama,2008,0506,2.0999999046325684
014155,1,Alabama,2007,0506,1.7999999523162842
014155,1,Alabama,2006,0506,2.0999999046325684
014155,1,Alabama,2005,0506,2.299999952316284
014155,1,Alabama,2004,0506,2.0999999046325684
014155,1,Alabama,2003,0506,2.0
014155,1,Alabama,2002,0506,2.200000047683716
014155,1,Alabama,2001,0506,2.0
014155,1,Alabama,2000,0506,2.299999952316284
014155,1,Alabama,1999,0506,2.4000000953674316
014155,1,Alabama,2022,0507,1.7000000476837158
014155,1,Alabama,2021,0507,1.7999999523162842
014155,1,Alabama,2020,0507,2.0
014155,1,Alabama,2019,0507,1.899999976158142
014155,1,Alabama,2018,0507,1.899999976158142
014155,1,Alabama,2017,0507,2.0
014155,1,Alabama,2016,0507,2.799999952316284
014155,1,Alabama,2015,0507,2.5
014155,1,Alabama,2014,0507,2.299999952316284
014155,1,Alabama,2013,0507,2.5999999046325684
014155,1,Alabama,2010,0507,1.899999976158142
014155,1,Alabama,2009,0507,2.0
014155,1,Alabama,2008,0507,2.0999999046325684
014155,1,Alabama,2007,0507,1.7999999523162842
