STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
1,Alabama,0502,1991-09-18,1,29.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5999999046325684,305.0,0.0
1,Alabama,0502,2015-05-07,2,0.0,209.0,3.200000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.399999618530273,0.0,0.0,0.0,0.0,0.0,160.0,4.0,0.0,118.80000305175781,5.900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,305.0,0.0,0.0,,3.5999999046325684,305.0,11.600000381469727
1,Alabama,0502,2017-02-14,2,0.0,226.89999389648438,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,197.0,9.0,0.0,149.1999969482422,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,305.0,0.0,0.0,,3.5999999046325684,305.0,8.5
1,Alabama,0502,2013-02-05,2,0.0,212.3000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.199999809265137,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,96.80000305175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5999999046325684,305.0,4.699999809265137
1,Alabama,0502,2011-10-18,2,210.39999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,82.69999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5999999046325684,305.0,1.899999976158142
1,Alabama,0502,2002-01-31,2,27.299999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,51.599998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5,242.1999969482422,0.0
1,Alabama,0502,2009-03-25,2,47.900001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,113.5999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5999999046325684,301.3999938964844,5.199999809265137
1,Alabama,0502,2006-09-26,2,39.900001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5999999046325684,295.1000061035156,2.9000000953674316
1,Alabama,0502,2003-04-01,2,32.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,0.0,61.400001525878906,1.899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5,260.20001220703125,2.299999952316284
1,Alabama,0502,1998-01-30,2,53.79999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,3.5,214.1999969482422,0.0
